corpus,chunk1,chunk2,chunk3,chunk4
gondoltam,gon,do,lt,am
teljesen,te,lj,es,en
hallottam,ha,ll,ot,tam
hallottam,ha,ll,ott,am
hallottam,hal,lo,tt,am
egyáltalán,egy,ál,tal,án
tökéletes,tök,él,et,es
találtam,ta,lá,lt,am
hamarosan,ha,ma,ro,san
hamarosan,ha,mar,os,an
korábban,ko,rá,bb,an
pillanat,pi,ll,an,at
mindketten,mind,ke,tt,en
értettem,ér,te,tt,em
mindannyian,mind,ann,yi,an
maradjon,ma,ra,dj,on
szerettem,sze,re,tt,em
általában,ál,ta,lá,ban
általában,ál,ta,láb,an
bocsánatot,bo,csá,nat,ot
bocsánatot,bocs,án,at,ot
hallgass,ha,ll,ga,ss
egyenesen,eg,ye,ne,sen
egyenesen,eg,yen,es,en
egyenesen,egy,en,es,en
hallottad,ha,ll,ot,tad
hallottad,ha,ll,ott,ad
hallottad,hal,lo,tt,ad
dolgozott,dol,go,zo,tt
mostantól,mo,st,an,tól
haragudj,ha,ra,gu,dj
őrmester,őr,me,st,er
valamilyen,va,la,mily,en
valamilyen,va,lam,il,yen
valamilyen,va,lam,ily,en
valamilyen,val,am,il,yen
valamilyen,val,am,ily,en
semmilyen,se,mm,il,yen
semmilyen,se,mm,ily,en
pillanatban,pil,la,nat,ban
pillanatban,pil,lan,at,ban
pillanatban,pil,lana,tb,an
nevetséges,neve,ts,ég,es
alkalommal,al,kal,om,mal
szívességet,szív,ess,ég,et
szívességet,szíve,ss,ég,et
találtak,ta,lá,lt,ak
továbbra,to,vá,bb,ra
kapcsolat,ka,pc,sol,at
pillanatra,pil,la,nat,ra
pillanatra,pil,lan,at,ra
nemsokára,ne,ms,ok,ára
barátaim,ba,rá,ta,im
láttalak,lá,tt,al,ak
személyesen,sze,mély,es,en
személyesen,szem,él,ye,sen
személyesen,szem,él,yes,en
várjatok,vá,rj,at,ok
igazgató,ig,az,ga,tó
kevesebb,ke,ve,se,bb
egymással,egy,má,ss,al
valamire,va,la,mi,re
iskolába,is,ko,lá,ba
kapcsolatba,ka,pc,so,latba
kellemes,ke,ll,em,es
találtál,ta,lá,lt,ál
rendőrséget,rend,őrs,ég,et
ismertem,is,me,rt,em
szeretett,sze,re,te,tt
ugyanolyan,ugy,an,oly,an
bocsásson,bo,csá,ss,on
életemet,él,et,em,et
tökéletesen,tök,élet,es,en
szexuális,sze,xu,ál,is
nyilvánvalóan,nyilván,va,ló,an
bonyolult,bon,yo,lu,lt
hivatalos,hi,va,ta,los
hivatalos,hi,va,tal,os
hivatalos,hiv,at,al,os
hallotta,ha,ll,ot,ta
titokban,ti,to,kb,an
tulajdonképpen,tulaj,don,kép,pen
hallottál,ha,ll,ot,tál
hallottál,ha,ll,ott,ál
hallottál,hal,lo,tt,ál
akartalak,ak,art,al,ak
akartalak,aka,rt,al,ak
testvérem,te,st,vér,em
iskolában,is,ko,lá,ban
iskolában,is,ko,láb,an
hamarabb,ha,ma,ra,bb
tartozom,ta,rt,oz,om
egyelőre,eg,ye,lő,re
találkozott,talál,ko,zo,tt
változott,vá,lt,oz,ott
semmiség,se,mm,is,ég
keresett,ke,re,se,tt
gondoltál,gon,do,lt,ál
kerestem,ke,re,st,em
tartalmából,tart,al,má,ból
valamikor,va,la,mi,kor
valamikor,va,la,mik,or
állapotban,ál,lap,ot,ban
állapotban,áll,ap,ot,ban
állapotban,álla,po,tb,an
hivatalosan,hi,va,tal,osan
hivatalosan,hiv,at,al,osan
valamiféle,va,la,mi,féle
hétvégén,hé,tv,ég,én
errefelé,er,re,fe,lé
tartanak,ta,rt,an,ak
magammal,ma,ga,mm,al
mellette,me,ll,et,te
találjuk,ta,lá,lj,uk
egyértelmű,egy,ér,tel,mű
őrültség,őr,ül,ts,ég
egymáshoz,egy,má,sh,oz
tanultam,ta,nu,lt,am
történetet,tört,én,et,et
határozottan,határ,oz,ot,tan
határozottan,határ,oz,ott,an
politikai,po,li,ti,kai
gyanúsított,gyanú,sí,to,tt
találtuk,ta,lá,lt,uk
halottak,ha,lo,tt,ak
melletted,me,ll,et,ted
valahova,va,la,ho,va
baromság,ba,ro,ms,ág
válaszolj,vá,las,zo,lj
polgármester,polgár,me,st,er
követtem,kö,ve,tt,em
tartottam,ta,rt,ot,tam
tartottam,ta,rt,ott,am
akkoriban,ak,ko,ri,ban
magatokat,ma,ga,to,kat
magatokat,ma,ga,tok,at
magatokat,mag,at,ok,at
erőszakos,er,ős,zak,os
erőszakos,er,ősz,ak,os
nyugodjon,nyu,go,dj,on
követett,kö,ve,te,tt
alaposan,al,ap,os,an
szabályokat,szab,ál,yo,kat
várjanak,vá,rj,an,ak
gondoltad,gon,do,lt,ad
mostanra,mo,st,an,ra
történhetett,tört,én,he,tett
történhetett,tört,én,hete,tt
történhetett,történ,he,te,tt
barátaid,ba,rá,ta,id
karácsonyi,ka,rács,on,yi
karácsonyi,kar,ács,on,yi
mindenesetre,min,den,eset,re
mindenesetre,mind,en,eset,re
mindenesetre,minden,es,et,re
ilyeneket,il,ye,ne,ket
ilyeneket,il,ye,nek,et
hallgasson,hall,ga,ss,on
valahová,va,la,ho,vá
tisztességes,tiszt,ess,ég,es
valamivel,va,la,mi,vel
pillanatot,pil,la,nat,ot
pillanatot,pil,lan,at,ot
ugyanakkor,ugy,an,ak,kor
jelentsen,jel,en,ts,en
gondoltuk,gon,do,lt,uk
dolláros,do,ll,ár,os
maradjatok,mar,ad,ja,tok
maradjatok,mar,adj,at,ok
maradjatok,mara,dj,at,ok
maradjanak,mar,ad,ja,nak
maradjanak,mar,ad,jan,ak
maradjanak,mar,adj,an,ak
maradjanak,mara,dj,an,ak
fiatalember,fi,at,al,ember
egyetemen,eg,ye,te,men
egyetemen,egy,et,em,en
takarodj,ta,ka,ro,dj
tartotta,ta,rt,ot,ta
jelentett,jel,en,te,tt
magasabb,ma,ga,sa,bb
változás,vá,lt,oz,ás
épületet,ép,ül,et,et
érdekelne,ér,de,kel,ne
catherine,cat,he,ri,ne
egyetemre,egy,et,em,re
általános,ál,ta,lá,nos
általános,ál,tal,án,os
forduljon,for,du,lj,on
robbanás,ro,bb,an,ás
észrevettem,ész,re,vett,em
észrevettem,észre,ve,tt,em
valamiért,va,la,mi,ért
hagyhatjuk,hagy,ha,tj,uk
papírokat,pap,ír,ok,at
darabokra,da,ra,bok,ra
darabokra,da,rab,ok,ra
darabokra,dar,ab,ok,ra
gondoljuk,gon,do,lj,uk
mozduljon,moz,du,lj,on
vállalat,vá,ll,al,at
szórakozni,szó,rak,oz,ni
szórakozni,szór,ak,oz,ni
rendőrségnek,rend,őrs,ég,nek
bizottság,biz,ot,ts,ág
uramisten,ur,am,is,ten
uramisten,ur,am,ist,en
uramisten,ur,ami,st,en
uramisten,ura,mi,st,en
mindenképpen,min,den,kép,pen
mindenképpen,mind,en,kép,pen
foglaljon,fog,la,lj,on
fiatalok,fi,at,al,ok
barátomat,ba,rá,tom,at
jelenteni,jel,en,te,ni
sikerülni,sik,er,ül,ni
holttestet,ho,lt,test,et
holttestet,ho,ltt,est,et
holttestet,hol,tt,est,et
holttestet,holt,te,st,et
állapota,ál,la,po,ta
washington,wa,sh,ing,ton
magyarázat,mag,ya,ráz,at
fiatalabb,fia,ta,la,bb
gondolkodom,gon,dol,ko,dom
remélhetőleg,remél,he,től,eg
érdekelt,ér,de,ke,lt
kapcsolja,ka,pc,sol,ja
szülinapot,szül,in,ap,ot
félreértés,fél,re,ért,és
vallomást,val,lo,má,st
egyedülálló,egy,ed,ül,álló
egyedülálló,egyed,ül,ál,ló
istenverte,is,ten,ver,te
istenverte,ist,en,ver,te
találtad,ta,lá,lt,ad
maradjak,ma,ra,dj,ak
fejedben,fe,je,db,en
álljanak,ál,lj,an,ak
magyarázni,mag,ya,ráz,ni
amerikaiak,am,erik,ai,ak
amerikaiak,ame,ri,kai,ak
amilyennek,am,il,yen,nek
amilyennek,am,ily,en,nek
található,tal,ál,ha,tó
adatokat,ad,at,ok,at
érdekelnek,ér,de,kel,nek
